+----+------------------------------------------+-------------+---------------+
| No |               Nama Barang                |     Stok    |     Harga     |
+----+------------------------------------------+-------------+---------------+
|1   | ABC Kopi Instant 10x31g                  |          34 |        17,300 |
|2   | ABC Kopi Susu Instan 10x30g              |          65 |        16,800 |
|3   | ABC Minuman Sari Kacang Hijau            |          78 |         5,300 |
|4   | Adem Sari Ching Ku Lemon 350ml           |          66 |         9,000 |
|5   | Aice Histeria Ice Cream Vanill           |          25 |         9,900 |
|6   | Antangin 5x15ml                          |          28 |        19,000 |
|7   | Aqua Air Mineral 1.5L                    |          76 |         6,700 |
|8   | bakso bakar                              |         100 |         2,000 |
|9   | Basreng Pedas 120g                       |          65 |        14,700 |
|10  | Baygon Insektisida Spray Citru           |          34 |        44,900 |
|11  | Bear Brand Susu Steril 189ml             |          87 |        10,800 |
|12  | Beng-Beng Wafer Chocolate Max            |          91 |         4,700 |
|13  | Biore Relaxing Aromatic Sabun            |          87 |        13,900 |
|14  | Buavita 250 ML                           |           0 |         8,500 |
|15  | Cap lang Minyak Kayu Putih 30m           |          43 |        14,900 |
|16  | Chitato Nori Seaweed 120gr               |          76 |        17,000 |
|17  | Chitato Sapi Panggang 68g                |          99 |        12,500 |
|18  | Cimory Yoghurt Squeeze                   |          75 |        10,200 |
|19  | Clear Anti Dandruff Shampoo Me           |          98 |        15,500 |
|20  | Cola-Cola Zero Sugar 250ml               |          43 |         6,200 |
|21  | Cotton Buds Babby Refill 100 p           |         349 |         6,900 |
|22  | Crystalin Air Mineral Pet 1.5L           |          45 |         5,500 |
|23  | Dua Kelinci Kacang Garing 180g           |         123 |        20,900 |
|24  | Fanta Soft Drink Strawberry 39           |          76 |         5,900 |
|25  | Fitbar Snack Bar Fruit Delight           |         187 |         5,700 |
|26  | Floridina Juice Pulp Orange 35           |          76 |         3,200 |
|27  | Floridina Orange 350ml                   |         125 |         3,200 |
|28  | Garuda Kacang Garing 350                 |          87 |        37,400 |
|29  | Gillete Blue Plus Razor                  |          78 |        11,500 |
|30  | Greenfields UHT Milk Full Crea           |          43 |        24,200 |
|31  | Head&Shoulders Shampoo                   |          79 |        16,500 |
|32  | Hemaviton Less Sugar Can 330ml           |          98 |         5,900 |
|33  | Imboost Tablet 4 pcs                     |          65 |        19,300 |
|34  | Indofood Sambal Ekstra Pedas 1           |          34 |         7,500 |
|35  | Indomie Ayam bawang                      |          76 |         3,100 |
|36  | Indomie Goreng Original                  |           9 |         2,000 |
|37  | Indomie Instan Premium Tori Mi           |         221 |         6,000 |
|38  | Indomilk UHT 950 ML                      |           0 |        19,500 |
|39  | Kapal Api Kopi Bubuk 380g                |          87 |        29,500 |
|40  | Kenko Glue Stick 15g                     |          63 |         9,500 |
|41  | Kinder Joy Chocolate 20g                 |          21 |        15,300 |
|42  | Le minerale 1500ml                       |          63 |         6,500 |
|43  | Lifebuoy Sabun Mandi Cair Red            |          98 |        20,100 |
|44  | Magnum IceCream Vanilla Classi           |          86 |        18,200 |
|45  | Maizenaku Corn Starch 150g               |          67 |         7,500 |
|46  | Milkku Susu Strawberry 200ml             |         189 |         3,500 |
|47  | Milku Susu Uht Coklat 200 ML             |          53 |         3,200 |
|48  | Milo Go Original Kaleng 220              |          67 |        10,700 |
|49  | Morin Selai Kaya Spread 170              |          40 |        21,000 |
|50  | Nescafe Coffe Drink Latte 220m           |          42 |         7,300 |
|51  | Nescafe Kopi Instant Classic 1           |          69 |         7,000 |
|52  | Nescafe Mocha Ice Coffee 220ml           |          87 |        10,800 |
|53  | Nice Facial Tissue 250 's                |          54 |        15,900 |
|54  | Nissin Walens Choco Soes 100g            |         132 |        11,400 |
|55  | Nutella Hazelnut Cocoa Spread            |          65 |        44,200 |
|56  | Oishi Snack Sponge Crunch Choc           |          44 |        15,000 |
|57  | Onigiri Ayam Mayo 100gr                  |          43 |        10,000 |
|58  | Oskadon Tablet 4 pcs                     |          45 |         2,100 |
|59  | Panadol Paracetamol 10 Kaplet            |          43 |        12,700 |
|60  | Pepsodent Gentle Care Sikat Gi           |          89 |        10,500 |
|61  | Pepsodent Pasta Gigi White 75g           |          67 |         6,300 |
|62  | Pocari Sweat 2000ml                      |          55 |        23,900 |
|63  | Poci Teh Hitam Celup Vanilla 2           |          93 |         6,900 |
|64  | Pop Mie Instan Cup Bakso 75g             |          78 |         5,500 |
|65  | Promag Tablet Kunyah 10 pcs              |          98 |         9,900 |
|66  | Pronas Corned Beef 198g                  |          88 |        24,700 |
|67  | Pucuk Harum 500 ML                       |          28 |         6,800 |
|68  | Qtela Kripik Singkong Balado 6           |          54 |         7,800 |
|69  | Quacker Instant Oatmeal Merah            |          76 |        14,500 |
|70  | Regal Marie Biscuits Superior            |          65 |        13,500 |
|71  | Rexona Men Deodorant  Roll On            |         124 |        25,900 |
